review_text,rating,product_name,brand,user_id,review_date,ram,storage,color,source,verified_purchase
I like it - It's OK,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2020-06-11 00:00:00.000000,,,black,Review Data Import,True
I like it - Great product,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2020-09-09 00:00:00.000000,,,black,Review Data Import,True
Its okay - Its okay so far,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2020-02-21 00:00:00.000000,,,black,Review Data Import,True
"I LOVE IT - ITS VERY CUTE AND IS DOING THE JOB WELL.........BATTERY IS WORKING VERY WELL,HIGHLY RECOMMENDED.",4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2020-07-02 00:00:00.000000,,,black,Review Data Import,True
I like it - Working perfect.,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2020-01-23 00:00:00.000000,,,black,Review Data Import,True
l like it. - Very good product.,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-12-20 00:00:00.000000,,,black,Review Data Import,True
I like it - I recommend it,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-12-15 00:00:00.000000,,,black,Review Data Import,True
I love it - Works perfectly well.,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-03-12 00:00:00.000000,,,black,Review Data Import,True
"i like it - is ok, no issue nor fault",4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-11-22 00:00:00.000000,,,black,Review Data Import,True
I like it - Ok for the price,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-11-20 00:00:00.000000,,,black,Review Data Import,True
Perfect - I love the phone,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-07-11 00:00:00.000000,,,black,Review Data Import,True
I like it - Products is good,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-10-15 00:00:00.000000,,,black,Review Data Import,True
"GOOD - EXCELLENT PHONE











































































































",4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-02-04 00:00:00.000000,,,black,Review Data Import,True
NICE - STRONG,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-03-16 00:00:00.000000,,,black,Review Data Import,True
"Chiemeke Victoria  - Beautiful, strong and long lasting battery ",4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-01-24 00:00:00.000000,,,black,Review Data Import,True
Mr - It&#039;s a good product,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-01-21 00:00:00.000000,,,black,Review Data Import,True
Itel 2160 phone - I love it,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2019-01-18 00:00:00.000000,,,black,Review Data Import,True
Good - Nice,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2018-02-12 00:00:00.000000,,,black,Review Data Import,True
Mr - The phone keeps rebooting,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2018-11-11 00:00:00.000000,,,black,Review Data Import,True
